modelo,tipo,preço_medio_reais,nota_global,som,anc,autonomia_horas,estilo,microfone,possui_modo_jogo,resistencia,link_review,link_amazon,link_importar,modo_ambiente,carrega_sem_fio,possui_anc,possui_modo_ambiente,possui_deteccao_uso,possui_atender_recusar,possui_play_pause,possui_avancar_musica,possui_retormar_musica,possui_chamar_assistente,possui_controle_volume,possui_configurar_toques,possui_multiponto,possui_deteccao_voz,possui_atendimento_automatico,possui_audio_espacial
QCY-HT01,Intra Auricular,210,8.72,8.6,8.5,6,Cápsulas,8.7,Sim,IPX4,https://youtu.be/W7DP6SdByhI,https://amzn.to/3tmTlTt,N/A,8.5,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Xiaomi Redmi Airdots 3 Pro (Buds 3 Pro),Intra Auricular,180,8.72,8.6,8.3,6,Cápsulas,8.8,Não,IPX4,https://youtu.be/JvwCLGAOJSc,https://amzn.to/3AnbgvG,https://s.click.aliexpress.com/e/_DFbpiz5,8.7,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não
Haylou T16,Intra Auricular,315,8.72,8.6,8,6,Cápsulas,8.7,Sim,IPX5,https://youtu.be/DQxbZaaQlzM,https://amzn.to/3BpwRVj,N/A,8.5,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Awei TA1 ANC,Intra Auricular,235,8.72,8.6,8,4,Hastes,8.6,Sim,IPX4,https://youtu.be/BUkUpoF8Pj8,https://amzn.to/2YuFwb9,N/A,8.3,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Vohz Connect F9-5,Intra Auricular,60,8.72,8.6,N/A,5,Cápsulas,7.3,Não,N/A,N/A,https://amzn.to/3UuNcTq,https://mercadolivre.com/sec/25G3Bbe,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
THIEAUDIO Hype 2,Intra Auricular,1600,8.71,9,N/A,N/A,Com Fio,N/A,Não,N/A,https://youtu.be/LWk8C_aLSIE,https://amzn.to/45VRzL0,https://s.click.aliexpress.com/e/_DELs7AP,N/A,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
SIMGOT EA500,Intra Auricular,400,8.71,8.8,N/A,N/A,Com Fio,N/A,Não,N/A,https://youtu.be/Tho9PiaQmY8,https://amzn.to/3qrS4O0,https://s.click.aliexpress.com/e/_DE91tW3,N/A,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
KZ ZSN Pro,Intra Auricular,65,8.71,8.79,N/A,N/A,Com Fio,9,Não,N/A,https://youtu.be/EnEt02d0LMc,https://amzn.to/3B2JJUn,https://s.click.aliexpress.com/e/_DDgqwnt,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
QKZ x HBB Khan,Intra Auricular,200,8.71,8.79,N/A,N/A,Com Fio,9,Não,N/A,https://youtu.be/vibs-bwsMPw,https://amzn.to/3E5axnh,https://s.click.aliexpress.com/e/_DmW3zwF,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
KZ ZSN Pro + AZ10,Intra Auricular,140,8.71,8.78,N/A,6,Com Gancho,8,Sim,N/A,https://youtu.be/EnEt02d0LMc,https://amzn.to/3nZISMc,https://s.click.aliexpress.com/e/_DkdePP5,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
ZIIGAAT Cinno,Intra Auricular,515,8.71,8.77,N/A,N/A,Com Fio,N/A,Não,N/A,https://youtu.be/9B1A-IJR-e0,https://amzn.to/3U4rSWn,https://s.click.aliexpress.com/e/_DefCRBT,N/A,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
SoundPeats H1,Intra Auricular,300,8.71,8.77,N/A,10,Cápsulas,8.9,Sim,IPX5,https://youtu.be/yp22yQ-FRQM,https://amzn.to/3Dltbok,https://s.click.aliexpress.com/e/_Dchuamr,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
KZ SK10 Pro,Intra Auricular,270,8.71,8.77,N/A,6,Cápsulas,8.7,Sim,N/A,https://youtu.be/cYBMKAkKS28,https://amzn.to/3IP6dKo,https://s.click.aliexpress.com/e/_DE8HaDd,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
KZ Z3,Intra Auricular,N/A,8.71,8.77,N/A,6,Cápsulas,8.7,Sim,N/A,https://youtu.be/4LX6kOwJbyw,https://amzn.to/3vqe5w7,https://s.click.aliexpress.com/e/_DDjGF8f,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Soundcore A20i,Intra Auricular,150,8.71,8.76,N/A,9,Cápsulas,8.9,Sim,IPX5,https://youtu.be/ih4Xm0BFM08,https://amzn.to/3Xloeao,https://s.click.aliexpress.com/e/_DdtPVyR,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Soundcore P20i,Intra Auricular,150,8.71,8.76,N/A,10,Hastes,8.9,Sim,IPX5,https://youtu.be/XJi-sguxRO8,https://amzn.to/469iSD3,https://s.click.aliexpress.com/e/_DBOxwYj,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
QCY T13X,Intra Auricular,220,8.71,8.76,N/A,8,Hastes,8.9,Sim,IPX5,https://youtu.be/FN-xIUrxqJA,https://amzn.to/3UtCldZ,https://mercadolivre.com/sec/2VQntyB,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Soundcore Life A1,Intra Auricular,250,8.71,8.76,N/A,9,Cápsulas,8.9,Não,IPX7,https://youtu.be/_uqs_Pb8O1A,https://amzn.to/3FUxg4z,https://s.click.aliexpress.com/e/_Dn13qWn,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
HONOR Choice Earbuds X3 Lite,Intra Auricular,130,8.71,8.75,N/A,6,Hastes,9,Sim,IPX4,https://youtu.be/zJGz1dBgymI,https://amzn.to/3BByXUE,https://s.click.aliexpress.com/e/_Dmfkda3,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Zhulinniao Qing Luan Z4,Intra Auricular,250,8.71,8.75,N/A,N/A,Com Fio,N/A,Não,N/A,https://youtu.be/EqkA9130zRU,https://amzn.to/3Q5Kp1Q,https://s.click.aliexpress.com/e/_DFXsYQL,N/A,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
TOZO T18 Crystal Buds,Intra Auricular,260,8.71,8.76,N/A,9,Cápsulas,8.8,Não,IPX7,https://youtu.be/lvt37FaPqe8,https://amzn.to/3IWosOc,https://s.click.aliexpress.com/e/_DC54sTZ,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
TOZO A1,Intra Auricular,115,8.71,8.75,N/A,6,Cápsulas,8.9,Não,IPX5,https://youtu.be/jwtjKHkgDh8,https://amzn.to/3C53SsZ,https://s.click.aliexpress.com/e/_DlqX08b,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Realme Buds Air 3S,Intra Auricular,150,8.71,8.75,N/A,7,Hastes,8.9,Sim,IPX5,https://youtu.be/vxK_ML4aonA,https://amzn.to/3UQKtC8,https://s.click.aliexpress.com/e/_Dl4Cp3H,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
Realme Buds Air 3 Neo,Intra Auricular,150,8.71,8.75,N/A,7,Hastes,8.9,Sim,IPX5,https://youtu.be/Do_l2kawHBc,https://amzn.to/3KAGAxP,https://s.click.aliexpress.com/e/_DCanTPN,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Soundcore Life P2 Mini,Intra Auricular,130,8.71,8.75,N/A,8,Hastes,8.8,Não,IPX5,https://youtu.be/vo9ML9PgtSk,https://amzn.to/3zoJQGW,https://s.click.aliexpress.com/e/_DBTNJTH,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
SoundPeats Clear,Intra Auricular,150,8.71,8.75,N/A,7,Hastes,8.7,Sim,IPX4,https://youtu.be/WLtu0trkzL4,https://amzn.to/3SWwP33,https://s.click.aliexpress.com/e/_DCv8Myf,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Haylou W1,Intra Auricular,170,8.71,8.75,N/A,6,Hastes,8.7,Não,IPX4,https://youtu.be/6re47tlCzFU,https://amzn.to/40U7BDh,https://s.click.aliexpress.com/e/_DEzTayT,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Tranya T30,Intra Auricular,200,8.71,8.75,N/A,8,Hastes,8.7,Sim,IPX7,https://youtu.be/EERv0c_PzCg,https://amzn.to/3qQIuAz,https://amzn.to/3qQIuAz,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Kiwi Ears Quintet,Intra Auricular,1150,8.71,8.9,N/A,N/A,Com Fio,N/A,Não,N/A,https://youtu.be/eyV76Dgw5_s,https://amzn.to/3qpMc8t,https://s.click.aliexpress.com/e/_DDFmotD,N/A,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
Tranya T20,Intra Auricular,200,8.71,8.75,N/A,8,Cápsulas,8.7,Sim,IPX7,https://youtu.be/VHxXCIokHQU,https://amzn.to/3mk8fbL,https://amzn.to/3mk8fbL,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
SoundPeats Sonic,Intra Auricular,200,8.71,8.75,N/A,15,Cápsulas,8.7,Sim,IPX5,https://youtu.be/w2Y-NwE7-VQ,https://amzn.to/3mA9Dpl,https://s.click.aliexpress.com/e/_DBs3D0X,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
SoundPeats Sonic Pro,Intra Auricular,230,8.71,8.75,N/A,15,Cápsulas,8.7,Sim,IPX5,https://youtu.be/66HkR7LGi-c,https://amzn.to/3lnVQCS,https://s.click.aliexpress.com/e/_DetNaSX,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
TOZO T20,Intra Auricular,320,8.71,8.75,N/A,10.5,Hastes,8.7,Não,IPX8,https://youtu.be/T87VQs37OFQ,https://amzn.to/46Kg13k,https://s.click.aliexpress.com/e/_DEBEZmn,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
7Hz Sonus,Intra Auricular,325,8.71,8.8,N/A,N/A,Com Fio,N/A,Não,N/A,https://youtu.be/tihnUQHejps,https://amzn.to/47cVFzE,https://s.click.aliexpress.com/e/_DDygmb9,N/A,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
Tranya T50,Intra Auricular,160,8.71,8.75,N/A,6,Hastes,8.5,Sim,IPX5,https://youtu.be/ZwGi8aVhDCo,https://amzn.to/3qZWCf3,https://amzn.to/3qZWCf3,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Stage Magic,Intra Auricular,100,8.71,8.75,N/A,N/A,Com Fio,8.3,Não,N/A,https://youtu.be/TX8FHOCSfDY,https://amzn.to/3LDLDwJ,https://amzn.to/3LDLDwJ,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
SoundPeats Free 2 Classic,Intra Auricular,130,8.71,8.75,N/A,8,Cápsulas,8.3,Não,IPX5,https://youtu.be/LxX79P1Alww,https://amzn.to/3OqndJ5,https://s.click.aliexpress.com/e/_DmxX4ZH,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Pamu Quiet,Intra Auricular,600,8.71,8.75,N/A,4.5,Hastes,8.7,Não,IPX4,https://youtu.be/cinh4qGzA4M,https://amzn.to/3oKOonG,https://bit.ly/3pfHdD7,N/A,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Baseus Bowie E9,Intra Auricular,170,8.71,8.74,N/A,5,Hastes,9,Sim,IPX5,https://youtu.be/Kl3aH_xLOoA,https://amzn.to/3JcNkkJ,https://s.click.aliexpress.com/e/_DmzE4f5,N/A,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Acefast Crystal T6,Intra Auricular,225,8.71,8.74,N/A,4,Hastes,8.9,Não,IPX4,https://youtu.be/3IsToh42E0Q,https://amzn.to/3ewtFkw,https://s.click.aliexpress.com/e/_DkZI19t,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tranya X1,Intra Auricular,200,8.71,8.74,N/A,6,Com Gancho,8.8,Sim,IPX5,https://youtu.be/JfMyhjMqfHw,https://amzn.to/3w8wkX5,https://amzn.to/3w8wkX5,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tronsmart Onyx Prime,Intra Auricular,340,8.71,8.74,N/A,7,Hastes,8.8,Sim,IPX4,https://youtu.be/C5Gl_cHu4xQ,https://amzn.to/3rd3ZMf,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Haylou GT1 2022,Intra Auricular,100,8.71,8.74,N/A,5,Cápsulas,8.7,Sim,IPX5,https://youtu.be/2IYdG5yOaK8,https://amzn.to/40xK7nC,https://s.click.aliexpress.com/e/_DEkGKen,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
QCY-T18,Intra Auricular,170,8.71,8.74,N/A,7,Hastes,8.7,Sim,N/A,https://youtu.be/9l5e3thDAfU,https://amzn.to/3FYIwO3,https://s.click.aliexpress.com/e/_Dk5fElV,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
1MORE Omthing AirFree Buds,Intra Auricular,190,8.71,8.74,N/A,7,Cápsulas,8.7,Sim,IPX4,https://youtu.be/htlI897_-l4,https://amzn.to/3XqXIMl,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Tranya T6,Intra Auricular,250,8.71,8.74,N/A,9,Cápsulas,8.7,Não,IPX5,https://youtu.be/EzSLvd6I1pI,https://amzn.to/3r9tbYh,https://amzn.to/3r9tbYh,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Ugreen HiTune X5,Intra Auricular,260,8.71,8.74,N/A,7,Hastes,8.7,Sim,IPX5,https://youtu.be/iZLx-4sMgAY,https://amzn.to/3lkOIY6,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Stage Cool 5,Intra Auricular,130,8.71,8.74,N/A,6,Hastes,8.6,Sim,IPX5,https://youtu.be/11G_50_laXM,https://amzn.to/45sNvTu,https://amzn.to/45sNvTu,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Blitzwolf BW-FYE15,Intra Auricular,175,8.71,8.74,N/A,4,Hastes,8.6,Não,IPX5,https://youtu.be/-eGks1RreBI,https://amzn.to/3J8wgKK,https://bit.ly/3tcD7Ow,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Soundpeats Gamer N.1,Intra Auricular,200,8.71,8.74,N/A,5,Hastes,8.4,Sim,IPX5,https://youtu.be/eQs5r6vi8ek,https://amzn.to/3r1wNYm,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Nuarl N6 Sports,Intra Auricular,N/A,8.71,8.74,N/A,10,Cápsulas,8.3,Sim,IPX7,https://youtu.be/IoYH1qG4mec,N/A,https://nuarl.com/,8.65,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Haylou GT7,Intra Auricular,120,8.71,8.73,N/A,5,Hastes,8.7,Sim,IPX5,https://youtu.be/JsKUxtZvMCk,https://amzn.to/3G3BKbi,https://s.click.aliexpress.com/e/_DmDPgzd,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
EKSA GT1 Cobra,Intra Auricular,195,8.71,8.73,N/A,6,Hastes,8.7,Sim,IPX4,https://youtu.be/jq8e1ID0ckM,https://amzn.to/3ChnNDw,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
Syllable WD1100,Intra Auricular,200,8.71,8.72,N/A,5,Hastes,8.6,Não,IPX5,https://youtu.be/hdcpPczw4EI,https://amzn.to/3HD98nW,https://s.click.aliexpress.com/e/_DEKAUTZ,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
QCY-T13,Intra Auricular,100,8.71,8.71,N/A,8,Hastes,8.6,Sim,IPX5,https://youtu.be/ALheiqwRLyA,https://amzn.to/3Gux8Iw,https://s.click.aliexpress.com/e/_DBafRET,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
Stage Hero 3,Intra Auricular,140,8.71,8.7,N/A,6,Hastes,8.7,Sim,N/A,https://youtu.be/Sf-IJpJOhgA,https://amzn.to/3x4bRTc,https://amzn.to/3x4bRTc,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Stage Hero 5,Intra Auricular,190,8.71,8.7,N/A,5,Hastes,8.7,Sim,N/A,https://youtu.be/uqoe-AsPhbY,https://amzn.to/3DnEFYl,https://amzn.to/39tk1Jz,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Syllable S115 Plus,Intra Auricular,200,8.65,8.6,N/A,12,Cápsulas,8.8,Não,IPX6,https://youtu.be/4LZY_-cUptU,https://amzn.to/3FonlEB,https://s.click.aliexpress.com/e/_DeOUnTN,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Wavefun Flex 3,Intra Auricular,110,8.65,8.6,N/A,30,Com Fio,8.75,Não,IPX5,https://youtu.be/HK-WzUN9Ep0,https://amzn.to/3KYfxer,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tranya M10,Intra Auricular,260,8.65,8.6,N/A,10,Cápsulas,8.7,Não,IPX5,https://youtu.be/gMT6Vpdbvlk,https://amzn.to/3oLQrYn,https://amzn.to/3tIPIr7,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tranya T10,Intra Auricular,364,8.65,8.6,N/A,8,Cápsulas,8.7,Não,IPX7,https://youtu.be/7rUrh1l_KwY,https://amzn.to/3uVXLBK,https://amzn.to/3egGJY5,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Blitzwolf BW-FYE5S,Intra Auricular,150,8.65,8.6,N/A,3,Hastes,8.5,Não,IPX5,https://youtu.be/rsOvHDlKni8,https://amzn.to/30dzkVv,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Overbeats Pro,Intra Auricular,290,8.65,8.6,N/A,9,Com Gancho,8,Não,IPX5,https://youtu.be/n1uY9ZHreaE,https://amzn.to/3oKyZDN,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
Tranya T3,Intra Auricular,130,8.65,8.55,N/A,8,Cápsulas,8.7,Não,IPX5,https://youtu.be/49-4LC9XE5M,https://amzn.to/2WXD3VO,https://amzn.to/3p0EJJE,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tranya T3 Pro,Intra Auricular,160,8.65,8.55,N/A,8,Cápsulas,8.7,Não,IPX5,https://youtu.be/49-4LC9XE5M,https://amzn.to/3BoMKeY,https://amzn.to/3v3eeEw,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tranya T10 Pro,Intra Auricular,200,8.65,8.55,N/A,8,Cápsulas,8.7,Sim,IPX7,https://youtu.be/1pCsAZdUNHA,https://amzn.to/3HAraXv,https://amzn.to/3HAraXv,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tranya T10B - 2021,Intra Auricular,200,8.65,8.55,N/A,8,Cápsulas,8.7,Sim,IPX7,https://youtu.be/84Et8qS-pJE,https://amzn.to/2WT06Ru,https://amzn.to/3z7XqgE,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tranya T40,Intra Auricular,200,8.65,8.55,N/A,8,Com Gancho,8.7,Sim,IPX5,https://youtu.be/QLFpWiVZDxM,https://amzn.to/3mVrubr,https://amzn.to/3mVrubr,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Tranya M10B,Intra Auricular,280,8.65,8.55,N/A,7,Cápsulas,8.7,Não,IPX5,https://youtu.be/B57TvbJxxZo,https://amzn.to/3aj97Xh,https://amzn.to/3hft4SD,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
QCY-T17,Intra Auricular,100,8.65,8.55,N/A,7.5,Cápsulas,8.5,Sim,IPX4,https://youtu.be/NuDX4QNjiR0,https://amzn.to/3d7wtAx,https://s.click.aliexpress.com/e/_Dl8vlA3,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Realme Buds Q,Intra Auricular,160,8.65,8.55,N/A,4.5,Cápsulas,8.5,Sim,IPX4,https://youtu.be/KorguugXuUQ,https://amzn.to/3qmoozH,https://s.click.aliexpress.com/e/_DCDLiYr,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
Awei T35,Intra Auricular,150,8.65,8.55,N/A,5,Hastes,8,Sim,IPX5,https://youtu.be/X8QgSr-sPVw,https://amzn.to/3oO9Nw6,https://s.click.aliexpress.com/e/_Ddbms2B,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Haylou T19,Intra Auricular,170,8.55,8.4,N/A,5,Hastes,8.7,Não,IPX4,https://youtu.be/Ca7oqqcFRS0,https://amzn.to/3092iWp,https://s.click.aliexpress.com/e/_DeUUtST,N/A,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Ugreen Hitune T1,Intra Auricular,210,8.55,8.4,N/A,5,Hastes,8.7,Não,IPX5,https://youtu.be/gpFIF9UvUS4,https://amzn.to/3aon6Lr,https://s.click.aliexpress.com/e/_DB2vCzV,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
QCC010,Intra Auricular,130,8.55,8.4,N/A,8,Cápsulas,8.5,Não,IPX5,https://youtu.be/qV80ni5MPuw,N/A,N/A,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Haylou GT3,Intra Auricular,135,8.55,8.4,N/A,4,Hastes,8.5,Não,IPX4,https://youtu.be/R8XTi-9Vsww,https://amzn.to/3Fv3vYb,N/A,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Padmate S28,Intra Auricular,260,8.7,8.7,N/A,7,Cápsulas,9,Sim,IPX4,https://youtu.be/C_MT7yVgNOs,https://amzn.to/3esNsy0,https://bit.ly/3kWtIXU,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Syllable S101 Plus,Intra Auricular,200,8.7,8.7,N/A,12,Cápsulas,8.8,Não,IPX6,https://youtu.be/rAIhIk2jBF0,https://amzn.to/3BsaEWG,https://s.click.aliexpress.com/e/_DdeNhpZ,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Syllable S101,Intra Auricular,170,8.7,8.7,N/A,10,Cápsulas,8.7,Não,IPX6,https://youtu.be/EStvA-8v0Hs,https://amzn.to/3oL8SwG,https://s.click.aliexpress.com/e/_DczRe3D,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Pamu Slide Mini,Intra Auricular,210,8.7,8.7,N/A,11,Hastes,8.7,Não,IPX6,https://youtu.be/2SGAIK9XM5Y,https://amzn.to/3Dq08zQ,https://bit.ly/3zYWZrS,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
SoundPeats H2,Intra Auricular,400,8.7,8.7,N/A,5,Hastes,8.7,Sim,IPX5,https://youtu.be/Qmh5a2wHe_I,https://amzn.to/3nQ4Lhd,https://s.click.aliexpress.com/e/_DCvWlA7,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Pamu Nano,Intra Auricular,300,8.7,8.7,N/A,6,Cápsulas,8.6,Não,IPX6,https://youtu.be/-Gpo8Ioopww,https://amzn.to/2WXCUSg,https://bit.ly/3oZcMAW,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
Xiaomi Redmi Buds 3 Lite,Intra Auricular,90,8.7,8.7,N/A,5,Cápsulas,8.5,Sim,IP54,https://youtu.be/ybXiidrQb1A,https://amzn.to/38SU60Q,https://s.click.aliexpress.com/e/_DklFNx9,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
Wavefun Xpods 3TS,Intra Auricular,140,8.7,8.7,N/A,6,Cápsulas,8.5,Não,IPX7,https://youtu.be/DV1AARV0h6A,https://amzn.to/3lnD12Q,N/A,N/A,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Edifier Hecate GM4,Intra Auricular,200,8.7,8.7,N/A,4,Hastes,8.5,Sim,IPX5,https://youtu.be/YNfuIFbeWTs,https://amzn.to/3iJr6uw,https://s.click.aliexpress.com/e/_DmAbTYP,N/A,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
