modelo,tipo,preço_medio_reais,nota_global,som,anc,autonomia_horas,estilo,microfone,possui_modo_jogo,resistencia,link_review,link_amazon,link_importar,modo_ambiente,carrega_sem_fio,possui_anc,possui_modo_ambiente,possui_deteccao_uso,possui_atender_recusar,possui_play_pause,possui_avancar_musica,possui_retormar_musica,possui_chamar_assistente,possui_controle_volume,possui_configurar_toques,possui_multiponto,possui_deteccao_voz,possui_atendimento_automatico,possui_audio_espacial
TOZO NC9,Intra Auricular,240,8.77,8.76,9,10,Cápsulas,8.8,Não,IPX6,https://youtu.be/7m-8eD3-ifg,https://amzn.to/3A4Axxc,https://s.click.aliexpress.com/e/_DBy6tmF,8.75,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
TOZO Golden X1,Intra Auricular,870,8.77,8.76,8.8,8,Cápsulas,8.8,Não,IPX6,https://youtu.be/M5rXk_EyVXo,https://amzn.to/3IVmxJF,https://s.click.aliexpress.com/e/_DdJHy1N,8.9,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
Samsung Galaxy Buds2 Pro,Intra Auricular,800,8.77,8.77,9,8,Cápsulas,9,Não,IPX7,https://youtu.be/qyUlIupMILc,https://amzn.to/3HeAL94,N/A,9.3,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
Realme Buds Air 3,Intra Auricular,210,8.76,8.75,9.1,7,Hastes,8.9,Sim,IPX5,https://youtu.be/zvZmBXxwJjE,https://amzn.to/3usiE8P,https://s.click.aliexpress.com/e/_DkvjkKT,8.9,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não
1More Pistonbuds Pro Q30,Intra Auricular,250,8.76,8.75,9.1,7.5,Hastes,9.2,Sim,IPX5,https://youtu.be/6zSuqSIeE9k,https://amzn.to/42IAaFQ,https://s.click.aliexpress.com/e/_DCjA6mH,8.75,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Samsung Galaxy Buds Pro,Intra Auricular,740,8.76,8.75,9,8,Cápsulas,9,Não,IPX7,https://youtu.be/HvWYVKTHBVA,https://amzn.to/3J7mRnp,N/A,9,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
QCY HT07 ArcBuds,Intra Auricular,170,8.76,8.75,9,8,Cápsulas,8.7,Sim,IPX5,https://youtu.be/Kl6q7KTHp-c,https://amzn.to/3pbNQt9,https://s.click.aliexpress.com/e/_DD3gSeJ,9,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
QCY HT05 Melobuds,Intra Auricular,170,8.76,8.75,9,7.5,Hastes,8.7,Sim,IPX5,https://youtu.be/F-q-bzFLmfk,https://amzn.to/3rPgUol,https://s.click.aliexpress.com/e/_DdZ6BzV,9,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
1MORE Pistonbuds Pro,Intra Auricular,260,8.76,8.75,9.1,7.5,Cápsulas,8.9,Sim,IPX5,https://youtu.be/I9lR0jPPgNw,https://amzn.to/3tLzoI2,https://s.click.aliexpress.com/e/_Dd1fQyL,8,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
Nothing Ear (1),Intra Auricular,790,8.76,8.75,9,5,Hastes,9,Sim,IPX4,https://youtu.be/TotFFcmTDMQ,https://amzn.to/3EBmIJB,https://s.click.aliexpress.com/e/_DkqKpYB,9,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não
